id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:pDOP,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
0,-17656063,537903942,209508,186,2022,11,14,10,40,40
1,-17653799,537902779,290569,4303,2022,11,14,14,19,31
2,-17653535,537902663,290628,4297,2022,11,14,14,19,35
